step,bucket,reason,segment_chars
21,traceback_in_exit0,traceback_only_no_test_failure,523
21,traceback_in_exit0,traceback_only_no_test_failure,1252
21,traceback_in_exit0,traceback_only_no_test_failure,513
21,traceback_in_exit0,traceback_only_no_test_failure,529
21,traceback_in_exit0,traceback_only_no_test_failure,693
22,traceback_in_exit0,traceback_only_no_test_failure,157
22,traceback_in_exit0,traceback_only_no_test_failure,1152
23,traceback_in_exit0,traceback_only_no_test_failure,418
23,tests_failed_in_exit0,unexplained_exit0_with_test_failure,46
23,traceback_in_exit0,traceback_only_no_test_failure,137
23,traceback_in_exit0,traceback_only_no_test_failure,119
23,traceback_in_exit0,traceback_only_no_test_failure,141
23,traceback_in_exit0,traceback_only_no_test_failure,1035
24,traceback_in_exit0,traceback_only_no_test_failure,553
24,traceback_in_exit0,traceback_only_no_test_failure,225
24,traceback_in_exit0,traceback_only_no_test_failure,341
24,traceback_in_exit0,traceback_only_no_test_failure,254
24,traceback_in_exit0,traceback_only_no_test_failure,783
24,traceback_in_exit0,traceback_only_no_test_failure,254
24,traceback_in_exit0,traceback_only_no_test_failure,295
24,traceback_in_exit0,traceback_only_no_test_failure,162
24,traceback_in_exit0,traceback_only_no_test_failure,483
24,traceback_in_exit0,traceback_only_no_test_failure,245
24,traceback_in_exit0,traceback_only_no_test_failure,126
24,traceback_in_exit0,traceback_only_no_test_failure,395
24,traceback_in_exit0,traceback_only_no_test_failure,195
24,traceback_in_exit0,traceback_only_no_test_failure,322
24,traceback_in_exit0,traceback_only_no_test_failure,145
24,traceback_in_exit0,traceback_only_no_test_failure,155
24,traceback_in_exit0,traceback_only_no_test_failure,120
24,traceback_in_exit0,traceback_only_no_test_failure,242
24,traceback_in_exit0,traceback_only_no_test_failure,145
24,traceback_in_exit0,traceback_only_no_test_failure,145
24,traceback_in_exit0,traceback_only_no_test_failure,145
24,traceback_in_exit0,traceback_only_no_test_failure,490
25,traceback_in_exit0,traceback_only_no_test_failure,122
25,traceback_in_exit0,traceback_only_no_test_failure,273
25,traceback_in_exit0,traceback_only_no_test_failure,306
25,traceback_in_exit0,traceback_only_no_test_failure,2236
25,traceback_in_exit0,traceback_only_no_test_failure,347
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,375
25,traceback_in_exit0,traceback_only_no_test_failure,144
25,traceback_in_exit0,traceback_only_no_test_failure,375
25,traceback_in_exit0,traceback_only_no_test_failure,425
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,347
25,traceback_in_exit0,traceback_only_no_test_failure,355
25,traceback_in_exit0,traceback_only_no_test_failure,360
25,traceback_in_exit0,traceback_only_no_test_failure,347
25,traceback_in_exit0,traceback_only_no_test_failure,368
25,traceback_in_exit0,traceback_only_no_test_failure,360
