step,bucket,reason,segment_chars
18,traceback_in_exit0,traceback_only_no_test_failure,5160
18,tests_failed_in_exit0,pytest_collection_error,1135
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1421
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1992
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,5350
18,tests_failed_in_exit0,pytest_collection_error,902
18,tests_failed_in_exit0,pytest_collection_error,1126
18,tests_failed_in_exit0,pytest_collection_error,1239
18,traceback_in_exit0,traceback_only_no_test_failure,2500
18,tests_failed_in_exit0,pytest_collection_error,970
18,tests_failed_in_exit0,pytest_collection_error,1573
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1154
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1819
18,traceback_in_exit0,traceback_only_no_test_failure,407
18,traceback_in_exit0,traceback_only_no_test_failure,377
18,traceback_in_exit0,traceback_only_no_test_failure,377
18,traceback_in_exit0,traceback_only_no_test_failure,377
18,traceback_in_exit0,traceback_only_no_test_failure,322
18,traceback_in_exit0,traceback_only_no_test_failure,390
18,traceback_in_exit0,traceback_only_no_test_failure,377
18,traceback_in_exit0,traceback_only_no_test_failure,377
18,traceback_in_exit0,traceback_only_no_test_failure,377
18,traceback_in_exit0,traceback_only_no_test_failure,131
18,traceback_in_exit0,traceback_only_no_test_failure,377
18,traceback_in_exit0,traceback_only_no_test_failure,390
19,traceback_in_exit0,traceback_only_no_test_failure,166
19,traceback_in_exit0,traceback_only_no_test_failure,542
19,traceback_in_exit0,traceback_only_no_test_failure,542
19,traceback_in_exit0,traceback_only_no_test_failure,526
19,traceback_in_exit0,traceback_only_no_test_failure,580
19,traceback_in_exit0,traceback_only_no_test_failure,542
19,traceback_in_exit0,traceback_only_no_test_failure,221
19,traceback_in_exit0,traceback_only_no_test_failure,542
19,traceback_in_exit0,traceback_only_no_test_failure,580
19,traceback_in_exit0,traceback_only_no_test_failure,580
19,traceback_in_exit0,traceback_only_no_test_failure,542
19,traceback_in_exit0,traceback_only_no_test_failure,542
19,traceback_in_exit0,traceback_only_no_test_failure,542
