global_step,acceptance_step,scope,prompt_idx,n_samples,reward_mean,reward_std,reward_min,reward_max,n_zero,degenerate
36,36,group,0,32,0.46875,0.499022,0.0,1.0,17,0
36,36,group,1,32,0.78125,0.413399,0.0,1.0,7,0
36,36,group,2,32,0.96875,0.173993,0.0,1.0,1,0
36,36,group,3,32,0.8125,0.390312,0.0,1.0,6,0
36,36,group,4,32,0.875,0.330719,0.0,1.0,4,0
36,36,group,5,32,0.875,0.330719,0.0,1.0,4,0
36,36,group,6,32,0.96875,0.173993,0.0,1.0,1,0
36,36,group,7,32,0.1875,0.390312,0.0,1.0,26,0
36,36,step,,256,0.742188,0.43743,0.0,1.0,66,0
37,37,group,0,32,0.96875,0.173993,0.0,1.0,1,0
37,37,group,1,32,0.96875,0.173993,0.0,1.0,1,0
37,37,group,2,32,0.0625,0.242061,0.0,1.0,30,0
37,37,group,3,32,0.84375,0.363092,0.0,1.0,5,0
37,37,group,4,32,0.03125,0.173993,0.0,1.0,31,0
37,37,group,5,32,0.75,0.433013,0.0,1.0,8,0
37,37,group,6,32,0.90625,0.291481,0.0,1.0,3,0
37,37,group,7,32,0.25,0.433013,0.0,1.0,24,0
37,37,step,,256,0.597656,0.490371,0.0,1.0,103,0
38,38,group,0,32,0.84375,0.363092,0.0,1.0,5,0
38,38,group,1,32,0.96875,0.173993,0.0,1.0,1,0
38,38,group,2,32,0.40625,0.491132,0.0,1.0,19,0
38,38,group,3,32,0.84375,0.363092,0.0,1.0,5,0
38,38,group,4,32,0.0625,0.242061,0.0,1.0,30,0
38,38,group,5,32,0.90625,0.291481,0.0,1.0,3,0
38,38,group,6,32,0.78125,0.413399,0.0,1.0,7,0
38,38,group,7,32,0.84375,0.363092,0.0,1.0,5,0
38,38,step,,256,0.707031,0.455124,0.0,1.0,75,0
39,39,group,0,32,0.71875,0.449609,0.0,1.0,9,0
39,39,group,1,32,0.6875,0.463512,0.0,1.0,10,0
39,39,group,2,32,0.0625,0.242061,0.0,1.0,30,0
39,39,group,3,32,0.28125,0.449609,0.0,1.0,23,0
39,39,group,4,32,0.15625,0.363092,0.0,1.0,27,0
39,39,group,5,32,0.9375,0.242061,0.0,1.0,2,0
39,39,group,6,32,0.375,0.484123,0.0,1.0,20,0
39,39,group,7,32,0.40625,0.491132,0.0,1.0,19,0
39,39,step,,256,0.453125,0.497798,0.0,1.0,140,0
40,40,group,0,32,0.9375,0.242061,0.0,1.0,2,0
40,40,group,1,32,0.78125,0.413399,0.0,1.0,7,0
40,40,group,2,32,0.78125,0.413399,0.0,1.0,7,0
40,40,group,3,32,0.96875,0.173993,0.0,1.0,1,0
40,40,group,4,32,0.96875,0.173993,0.0,1.0,1,0
40,40,group,5,32,0.9375,0.242061,0.0,1.0,2,0
40,40,group,6,32,0.90625,0.291481,0.0,1.0,3,0
40,40,group,7,32,0.78125,0.413399,0.0,1.0,7,0
40,40,step,,256,0.882812,0.321644,0.0,1.0,30,0
41,41,group,0,32,0.875,0.330719,0.0,1.0,4,0
41,41,group,1,32,0.03125,0.173993,0.0,1.0,31,0
41,41,group,2,32,0.9375,0.242061,0.0,1.0,2,0
41,41,group,3,32,0.59375,0.491132,0.0,1.0,13,0
41,41,group,4,32,0.625,0.484123,0.0,1.0,12,0
41,41,group,5,32,0.9375,0.242061,0.0,1.0,2,0
41,41,group,6,32,0.9375,0.242061,0.0,1.0,2,0
41,41,group,7,32,0.6875,0.463512,0.0,1.0,10,0
41,41,step,,256,0.703125,0.456881,0.0,1.0,76,0
42,42,group,0,32,0.25,0.433013,0.0,1.0,24,0
42,42,group,1,32,0.5,0.5,0.0,1.0,16,0
42,42,group,2,32,0.8125,0.390312,0.0,1.0,6,0
42,42,group,3,32,0.9375,0.242061,0.0,1.0,2,0
42,42,group,4,32,0.03125,0.173993,0.0,1.0,31,0
42,42,group,5,32,0.25,0.433013,0.0,1.0,24,0
42,42,group,6,32,0.21875,0.413399,0.0,1.0,25,0
42,42,group,7,32,0.9375,0.242061,0.0,1.0,2,0
42,42,step,,256,0.492188,0.499939,0.0,1.0,130,0
43,43,group,0,32,0.125,0.330719,0.0,1.0,28,0
43,43,group,1,32,0.90625,0.291481,0.0,1.0,3,0
43,43,group,2,32,0.9375,0.242061,0.0,1.0,2,0
43,43,group,3,32,0.03125,0.173993,0.0,1.0,31,0
43,43,group,4,32,0.46875,0.499022,0.0,1.0,17,0
43,43,group,5,32,0.78125,0.413399,0.0,1.0,7,0
43,43,group,6,32,0.96875,0.173993,0.0,1.0,1,0
43,43,group,7,32,0.9375,0.242061,0.0,1.0,2,0
43,43,step,,256,0.644531,0.478655,0.0,1.0,91,0
44,44,group,0,32,0.875,0.330719,0.0,1.0,4,0
44,44,group,1,32,0.34375,0.474959,0.0,1.0,21,0
44,44,group,2,32,0.96875,0.173993,0.0,1.0,1,0
44,44,group,3,32,0.84375,0.363092,0.0,1.0,5,0
44,44,group,4,32,0.75,0.433013,0.0,1.0,8,0
44,44,group,5,32,0.90625,0.291481,0.0,1.0,3,0
44,44,group,6,32,0.5,0.5,0.0,1.0,16,0
44,44,group,7,32,0.875,0.330719,0.0,1.0,4,0
44,44,step,,256,0.757812,0.428407,0.0,1.0,62,0
45,45,group,0,32,0.90625,0.291481,0.0,1.0,3,0
45,45,group,1,32,0.96875,0.173993,0.0,1.0,1,0
45,45,group,2,32,0.53125,0.499022,0.0,1.0,15,0
45,45,group,3,32,0.90625,0.291481,0.0,1.0,3,0
45,45,group,4,32,0.5625,0.496078,0.0,1.0,14,0
45,45,group,5,32,0.9375,0.242061,0.0,1.0,2,0
45,45,group,6,32,0.96875,0.173993,0.0,1.0,1,0
45,45,group,7,32,0.8125,0.390312,0.0,1.0,6,0
